pl_masse,pl_masseerr1,pl_rade,pl_radeerr1
0.2605915307120098,0.02605915307120098,0.629,0.0629
0.27973599389721787,0.027973599389721788,0.6494372550477594,0.06494372550477594
0.30028691288568393,0.030028691288568395,0.6705385504673584,0.06705385504673585
0.3223476135271527,0.03223476135271527,0.6923254620337437,0.06923254620337436
0.3460290125471011,0.03460290125471011,0.7148202665546364,0.07148202665546365
0.371450175213523,0.037145017521352304,0.7380459646482523,0.07380459646482523
0.3987389139729314,0.03987389139729314,0.7620263042611076,0.07620263042611077
0.4280324310653993,0.042803243106539934,0.7867858049499562,0.07867858049499563
0.4594780083495769,0.0459478008349577,0.812349782952689,0.0812349782952689
0.4932337478059851,0.04932337478059851,0.8387443770738274,0.08387443770738275
0.5294693664416859,0.052946936644168587,0.86599657541108,0.086599657541108
0.5683670495929486,0.05683670495929486,0.894134242950289,0.08941342429502891
0.6101223669161453,0.061012236691614534,0.9231861500569827,0.09231861500569827
0.6549452556722911,0.06549452556722911,0.9531820018936658,0.09531820018936658
0.7030610762489842,0.07030610762489842,0.9841524687929261,0.09841524687929261
0.7547117452266967,0.07547117452266967,1.0161292176174141,0.10161292176174141
0.8101569516862432,0.08101569516862434,1.0491449441387612,0.10491449441387612
0.8696754628727731,0.08696754628727732,1.0832334064685405,0.10832334064685406
0.9335665257809018,0.09335665257809019,1.1184294595754576,0.11184294595754576
1.0021513717078665,0.10021513717078666,1.1547690909240607,0.11547690909240607
1.075774831339292,0.10757748313392922,1.1922894572714124,0.11922894572714125
1.154807068487893,0.1154807068487893,1.2310289226593465,0.12310289226593465
1.239645441201998,0.1239645441201998,1.271027097641155,0.1271027097641155
1.330716499601168,0.1330716499601168,1.3123248797828173,0.13123248797828174
1.428478130483631,0.1428478130483631,1.3549644954801807,0.13549644954801807
1.5334218594881686,0.15334218594881688,1.3989895431348502,0.13989895431348504
1.6460753223852709,0.1646075322385271,1.444445037732935,0.14444450377329351
1.7670049179227059,0.1767004917922706,1.491377456872233,0.14913774568722332
1.8968186555634656,0.18968186555634658,1.5398347882849146,0.15398347882849148
2.0361692124339505,0.20361692124339506,1.5898665789042965,0.15898665789042965
2.185757214852094,0.21857572148520943,1.6415239855258796,0.16415239855258798
2.3463347609342944,0.23463347609342944,1.694859827114444,0.1694859827114444
2.5187092019920994,0.2518709201992099,1.749928638810691,0.1749928638810691
2.7037472017307476,0.2703747201730748,1.8067867276926504,0.18067867276926505
2.9023790936583773,0.29023790936583777,1.8654922303488688,0.18654922303488689
3.1156035586140978,0.3115603558614098,1.9261051723222447,0.19261051723222447
3.344492645932551,0.3344492645932551,1.9886875294852941,0.19886875294852943
3.5901971634903966,0.3590197163490397,2.053303291409602,0.2053303291409602
